game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block6_shift3_seed6003_v5,6003,6,3,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,59,dipnet,consistent,dipnet,cicero_nopress,searchbot,consistent,searchbot,0,4,0,12,17,1,0,0.000000,0.035556,0.000000,0.320000,0.642222,0.002222,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,20,22,30,9,21,59,97,66,78,5,17,21,27
run_multi_block6_shift2_seed6002_v5,6002,6,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_RUSSIA,F1911R,49,searchbot,cicero_nopress,searchbot,dipnet,consistent,cicero_nopress,consistent,0,1,8,0,7,18,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,36,42,20,26,47,54,5,10,19,41,54,71,9,16
run_multi_block7_shift0_seed7000_v5,7000,7,0,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1913R,59,cicero_nopress,consistent,searchbot,cicero_nopress,dipnet,consistent,searchbot,0,0,2,19,2,0,11,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0,0,0,0,0,1,1,2,0,1,4,0,0,0,1,0,0,0,0,0,0,1,6,0,0,21,30,12,17,35,42,48,74,24,38,11,19,55,98
run_multi_block7_shift2_seed7002_v5,7002,7,2,multi,AUSTRIA,consistent,dipnet,max_phases,F1913M,60,dipnet,searchbot,consistent,dipnet,cicero_nopress,searchbot,consistent,0,0,14,0,16,4,0,0.000000,0.000000,0.418803,0.000000,0.547009,0.034188,0.000000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,14,25,20,26,59,67,12,13,72,106,28,61,11,16
run_multi_block8_shift3_seed8003_v5,8003,8,3,multi,AUSTRIA,consistent,dipnet,solo_18sc_TURKEY,F1910R,46,cicero_nopress,dipnet,consistent,dipnet,searchbot,cicero_nopress,consistent,0,0,6,9,0,0,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,10,15,23,38,39,85,16,24,8,9,53,59
run_multi_block8_shift0_seed8000_v5,8000,8,0,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,59,consistent,searchbot,dipnet,searchbot,cicero_nopress,consistent,dipnet,2,0,8,7,12,5,0,0.013986,0.000000,0.223776,0.171329,0.503497,0.087413,0.000000,0,0,0,0,0,0,0,0,0,2,1,0,1,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,30,42,5,8,55,99,53,78,45,54,44,75,2,11
run_multi_block7_shift3_seed7003_v5,7003,7,3,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,57,searchbot,cicero_nopress,dipnet,searchbot,consistent,cicero_nopress,dipnet,0,0,13,0,7,8,6,0.000000,0.000000,0.531447,0.000000,0.154088,0.201258,0.113208,0,2,0,0,0,0,0,0,1,4,3,0,0,4,0,3,0,0,0,0,1,0,0,1,0,0,0,0,3,3,14,16,46,85,24,47,51,80,51,101,21,83
run_multi_block8_shift1_seed8001_v5,8001,8,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1911M,47,dipnet,cicero_nopress,searchbot,cicero_nopress,consistent,dipnet,searchbot,1,0,2,19,2,0,10,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,1,0,0,4,0,0,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,31,24,34,12,27,61,104,19,41,5,11,26,62
run_multi_block8_shift2_seed8002_v5,8002,8,2,multi,AUSTRIA,consistent,dipnet,stop_after_W1913A,W1913A,55,searchbot,consistent,cicero_nopress,consistent,dipnet,searchbot,cicero_nopress,11,2,13,3,4,0,1,0.378125,0.012500,0.528125,0.028125,0.050000,0.000000,0.003125,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,28,45,12,12,34,63,32,41,21,36,21,30,15,46
run_multi_block9_shift0_seed9000_v5,9000,9,0,multi,AUSTRIA,consistent,dipnet,solo_18sc_GERMANY,F1911R,48,searchbot,cicero_nopress,dipnet,consistent,dipnet,consistent,cicero_nopress,8,0,2,18,6,0,0,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,2,0,0,42,85,16,17,25,38,55,67,17,43,9,20,15,37
run_multi_block9_shift1_seed9001_v5,9001,9,1,multi,AUSTRIA,consistent,dipnet,solo_18sc_FRANCE,F1910R,45,consistent,dipnet,searchbot,cicero_nopress,searchbot,cicero_nopress,dipnet,0,0,18,1,7,3,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,7,7,14,16,43,55,27,29,39,50,12,57,27,65
run_multi_block9_shift2_seed9002_v5,9002,9,2,multi,AUSTRIA,consistent,dipnet,solo_18sc_AUSTRIA,F1913R,59,cicero_nopress,searchbot,consistent,dipnet,consistent,dipnet,searchbot,18,0,10,1,5,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,49,72,9,18,39,64,28,38,28,33,15,42,21,47
run_multi_block9_shift3_seed9003_v5,9003,9,3,multi,AUSTRIA,consistent,dipnet,solo_18sc_ITALY,F1913R,60,dipnet,consistent,cicero_nopress,searchbot,cicero_nopress,searchbot,consistent,0,0,16,0,18,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,2,1,0,0,0,0,0,8,26,27,36,82,104,12,19,50,63,24,32,11,42
