game_id,seed,block_seed,shift,setup,my_power,my_agent,opp_agent,ablation,end_reason,final_phase,num_phases,agent_AUSTRIA,agent_ENGLAND,agent_FRANCE,agent_GERMANY,agent_ITALY,agent_RUSSIA,agent_TURKEY,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_multi_block5_shift0_seed5000_v1_no_c34,5000,5,0,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_GERMANY,F1910M,44,dipnet,searchbot,consistent,cicero_nopress,consistent,cicero_nopress,searchbot,2,0,0,19,6,0,7,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,21,58,15,18,11,40,35,45,14,29,15,24,27,42
run_multi_block6_shift0_seed6000_v1_no_c34,6000,6,0,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_GERMANY,F1912R,48,cicero_nopress,searchbot,cicero_nopress,consistent,dipnet,searchbot,dipnet,1,0,0,19,5,0,9,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,55,2,20,35,39,43,45,10,39,30,53,33,59
run_multi_block6_shift1_seed6001_v1_no_c34,6001,6,1,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_FRANCE,F1912R,56,consistent,dipnet,consistent,searchbot,cicero_nopress,dipnet,cicero_nopress,0,0,18,0,0,0,16,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,3,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,26,24,37,61,94,17,46,12,12,5,7,72,94
run_multi_block5_shift1_seed5001_v1_no_c34,5001,5,1,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,59,consistent,dipnet,cicero_nopress,searchbot,cicero_nopress,searchbot,dipnet,0,0,12,5,13,4,0,0.000000,0.000000,0.406780,0.070621,0.477401,0.045198,0.000000,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,23,40,9,13,60,93,54,98,52,79,29,39,4,21
run_multi_block5_shift3_seed5003_v1_no_c34,5003,5,3,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,58,searchbot,cicero_nopress,dipnet,consistent,dipnet,consistent,cicero_nopress,0,7,0,8,9,10,0,0.000000,0.166667,0.000000,0.217687,0.275510,0.340136,0.000000,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,28,37,38,44,11,13,48,57,37,46,42,50,23,34
run_multi_block7_shift1_seed7001_v1_no_c34,7001,7,1,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_TURKEY,F1909R,39,consistent,dipnet,cicero_nopress,consistent,searchbot,dipnet,cicero_nopress,0,0,13,3,0,0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,1,0,0,0,1,0,0,1,1,2,0,0,0,1,0,3,3,0,0,0,0,0,0,0,1,1,0,12,33,10,10,30,35,25,42,14,18,13,16,32,38
run_multi_block7_shift0_seed7000_v1_no_c34,7000,7,0,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_ENGLAND,F1911R,49,cicero_nopress,consistent,searchbot,cicero_nopress,dipnet,consistent,searchbot,1,18,0,1,0,1,13,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,2,3,0,0,0,4,1,0,0,2,0,0,1,1,5,2,0,0,0,0,0,4,0,0,15,36,48,71,16,40,16,39,19,29,12,26,47,69
run_multi_block6_shift2_seed6002_v1_no_c34,6002,6,2,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,59,searchbot,cicero_nopress,searchbot,dipnet,consistent,cicero_nopress,consistent,4,7,4,10,2,0,7,0.068376,0.209402,0.068376,0.427350,0.017094,0.000000,0.209402,0,4,1,0,2,4,0,0,0,3,0,0,2,4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,32,91,17,22,26,34,69,82,11,28,3,25,27,60
run_multi_block6_shift3_seed6003_v1_no_c34,6003,6,3,multi,AUSTRIA,consistent,dipnet,no_c34,max_phases,F1913M,60,dipnet,consistent,dipnet,cicero_nopress,searchbot,consistent,searchbot,0,15,4,0,5,0,10,0.000000,0.614754,0.043716,0.000000,0.068306,0.000000,0.273224,1,1,0,0,0,1,0,0,1,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,14,62,93,47,59,41,53,34,55,18,18,49,64
run_multi_block8_shift0_seed8000_v1_no_c34,8000,8,0,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,57,consistent,searchbot,dipnet,searchbot,cicero_nopress,consistent,dipnet,0,0,1,16,10,4,3,0.000000,0.000000,0.002618,0.670157,0.261780,0.041885,0.023560,0,0,0,0,1,1,0,1,6,7,0,1,0,8,2,0,2,2,0,0,0,0,1,0,1,2,0,0,17,32,8,11,24,76,60,92,38,65,34,65,14,57
run_multi_block7_shift3_seed7003_v1_no_c34,7003,7,3,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_ITALY,F1912R,55,searchbot,cicero_nopress,dipnet,searchbot,consistent,cicero_nopress,dipnet,2,0,0,10,21,1,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,40,64,8,16,23,32,51,78,45,49,13,55,20,36
run_multi_block7_shift2_seed7002_v1_no_c34,7002,7,2,multi,AUSTRIA,consistent,dipnet,no_c34,max_phases,F1913M,60,dipnet,searchbot,consistent,dipnet,cicero_nopress,searchbot,consistent,0,0,11,8,14,1,0,0.000000,0.000000,0.316754,0.167539,0.513089,0.002618,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,2,0,0,1,0,0,0,0,0,0,14,19,17,21,35,73,23,67,71,99,31,43,4,13
run_multi_block9_shift0_seed9000_v1_no_c34,9000,9,0,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_GERMANY,F1911R,46,searchbot,cicero_nopress,dipnet,consistent,dipnet,consistent,cicero_nopress,0,0,0,18,1,13,2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,5,13,14,12,12,44,76,21,27,53,60,19,23
run_multi_block8_shift1_seed8001_v1_no_c34,8001,8,1,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,59,dipnet,cicero_nopress,searchbot,cicero_nopress,consistent,dipnet,searchbot,5,5,10,0,5,3,6,0.113636,0.113636,0.454545,0.000000,0.113636,0.040909,0.163636,2,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,36,77,29,32,44,68,23,34,22,24,20,48,31,58
run_multi_block8_shift3_seed8003_v1_no_c34,8003,8,3,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,58,cicero_nopress,dipnet,consistent,dipnet,searchbot,cicero_nopress,consistent,0,1,8,8,0,0,17,0.000000,0.002392,0.153110,0.153110,0.000000,0.000000,0.691388,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,30,20,43,44,67,18,117,27,32,8,11,69,100
run_multi_block9_shift1_seed9001_v1_no_c34,9001,9,1,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_FRANCE,F1910R,42,consistent,dipnet,searchbot,cicero_nopress,searchbot,cicero_nopress,dipnet,0,0,20,0,3,6,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,13,27,10,11,59,66,12,14,31,42,30,58,25,45
run_multi_block8_shift2_seed8002_v1_no_c34,8002,8,2,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,59,searchbot,consistent,cicero_nopress,consistent,dipnet,searchbot,cicero_nopress,0,9,8,0,0,0,17,0.000000,0.186636,0.147465,0.000000,0.000000,0.000000,0.665899,0,0,0,0,4,5,1,0,1,6,1,0,0,0,0,0,2,4,0,0,0,2,0,0,3,2,0,0,17,22,41,63,30,85,13,39,6,18,21,24,68,85
run_multi_block9_shift2_seed9002_v1_no_c34,9002,9,2,multi,AUSTRIA,consistent,dipnet,no_c34,stop_after_W1913A,W1913A,59,cicero_nopress,searchbot,consistent,dipnet,consistent,dipnet,searchbot,0,15,1,0,16,0,2,0.000000,0.462963,0.002058,0.000000,0.526749,0.000000,0.008230,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,3,4,0,0,2,0,0,1,4,0,0,4,9,63,79,24,39,22,44,59,83,11,31,19,61
run_multi_block9_shift3_seed9003_v1_no_c34,9003,9,3,multi,AUSTRIA,consistent,dipnet,no_c34,solo_18sc_ENGLAND,F1910M,43,dipnet,consistent,cicero_nopress,searchbot,cicero_nopress,searchbot,consistent,4,20,5,0,5,0,0,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,4,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,22,65,42,45,32,39,13,17,24,47,16,25,8,10
